DATE,LAT,LON,SST
2016-09-22T03:00:08.000Z,6.02,99.98,-32767
2016-09-23T02:50:09.000Z,6.02,99.98,-32767
2016-09-24T03:00:08.000Z,6.02,99.98,-32767
2016-09-25T02:40:09.000Z,6.02,99.98,30.5
2016-09-26T02:45:08.000Z,6.02,99.98,30.65
2016-09-27T02:25:08.000Z,6.02,99.98,-32767
2016-09-28T02:40:08.000Z,6.02,99.98,-32767
2016-09-29T02:10:08.000Z,6.02,99.98,-32767
2016-09-30T02:55:08.000Z,6.02,99.98,-32767
2016-10-01T03:00:08.000Z,6.02,99.98,-32767
2016-10-02T02:45:08.000Z,6.02,99.98,30.97
2016-10-03T02:55:09.000Z,6.02,99.98,29.88
2016-10-04T02:30:09.000Z,6.02,99.98,-32767
2016-10-05T02:40:09.000Z,6.02,99.98,-32767
2016-10-06T02:20:09.000Z,6.02,99.98,-32767
2016-10-07T02:35:08.000Z,6.02,99.98,-32767
2016-10-08T03:00:08.000Z,6.02,99.98,-32767
2016-10-09T02:25:08.000Z,6.02,99.98,29.84
2016-10-10T03:00:08.000Z,6.02,99.98,-32767
2016-10-11T02:35:08.000Z,6.02,99.98,-32767
2016-10-12T02:50:08.000Z,6.02,99.98,29.86
2016-10-13T02:25:08.000Z,6.02,99.98,-32767
2016-10-14T02:40:08.000Z,6.02,99.98,-32767
2016-10-15T02:10:08.000Z,6.02,99.98,-32767
2016-10-16T02:30:09.000Z,6.02,99.98,-32767
2016-10-17T03:00:08.000Z,6.02,99.98,-32767
2016-10-18T02:20:09.000Z,6.02,99.98,-32767
2016-10-19T02:55:09.000Z,6.02,99.98,-32767
2016-10-20T02:10:08.000Z,6.02,99.98,-32767
2016-10-21T02:40:08.000Z,6.02,99.98,-32767
2016-10-22T02:15:08.000Z,6.02,99.98,-32767
2016-10-23T02:35:08.000Z,6.02,99.98,-32767
2016-10-24T03:00:08.000Z,6.02,99.98,-32767
2016-10-25T02:25:08.000Z,6.02,99.98,-32767
2016-10-26T03:00:08.000Z,6.02,99.98,-32767
2016-10-27T02:15:08.000Z,6.02,99.98,-32767
2016-10-28T02:50:08.000Z,6.02,99.98,-32767
2016-10-29T02:10:09.000Z,6.02,99.98,-32767
2016-10-30T02:40:08.000Z,6.02,99.98,29.49
2016-10-31T02:10:09.000Z,6.02,99.98,-32767
2016-11-01T02:30:09.000Z,6.02,99.98,-32767
2016-11-02T03:00:09.000Z,6.02,99.98,-32767
2016-11-03T02:20:08.000Z,6.02,99.98,30.39
2016-11-04T02:55:09.000Z,6.02,99.98,-32767
2016-11-05T02:10:08.000Z,6.02,99.98,-32767
2016-11-06T02:45:08.000Z,6.02,99.98,-32767
2016-11-07T02:05:08.000Z,6.02,99.98,-32767
2016-11-08T02:35:08.000Z,6.02,99.98,-32767
2016-11-09T03:00:08.000Z,6.02,99.98,-32767
2016-11-10T02:25:08.000Z,6.02,99.98,-32767
2016-11-11T03:00:08.000Z,6.02,99.98,29.23
2016-11-12T02:15:09.000Z,6.02,99.98,-32767
2016-11-13T02:50:08.000Z,6.02,99.98,-32767
2016-11-14T02:10:09.000Z,6.02,99.98,-32767
2016-11-15T02:40:09.000Z,6.02,99.98,-32767
2016-11-16T02:05:09.000Z,6.02,99.98,-32767
2016-11-17T02:30:09.000Z,6.02,99.98,-32767
2016-11-18T03:00:09.000Z,6.02,99.98,-32767
2016-11-19T02:20:08.000Z,6.02,99.98,-32767
2016-11-20T02:55:09.000Z,6.02,99.98,30.35
2016-11-21T02:10:08.000Z,6.02,99.98,-32767
2016-11-22T02:45:08.000Z,6.02,99.98,-32767
2016-11-23T02:05:08.000Z,6.02,99.98,-32767
2016-11-24T02:35:08.000Z,6.02,99.98,-32767
2016-11-25T03:00:08.000Z,6.02,99.98,-32767
2016-11-26T02:25:08.000Z,6.02,99.98,-32767
2016-11-27T03:00:08.000Z,6.02,99.98,-32767
2016-11-28T02:15:09.000Z,6.02,99.98,-32767
2016-11-29T02:50:08.000Z,6.02,99.98,-32767
2016-11-30T02:10:09.000Z,6.02,99.98,-32767
2016-12-01T02:40:09.000Z,6.02,99.98,-32767
2016-12-02T02:05:08.000Z,6.02,99.98,-32767
2016-12-03T02:30:08.000Z,6.02,99.98,-32767
2016-12-04T03:00:09.000Z,6.02,99.98,-32767
2016-12-05T02:20:08.000Z,6.02,99.98,-32767
2016-12-06T02:55:08.000Z,6.02,99.98,-32767
2016-12-07T02:10:08.000Z,6.02,99.98,-32767
2016-12-08T02:45:08.000Z,6.02,99.98,30.14
2016-12-09T02:05:08.000Z,6.02,99.98,-32767
2016-12-10T02:35:08.000Z,6.02,99.98,-32767
2016-12-11T03:00:08.000Z,6.02,99.98,-32767
2016-12-12T02:25:09.000Z,6.02,99.98,-32767
2016-12-13T03:00:08.000Z,6.02,99.98,-32767
2016-12-14T02:15:09.000Z,6.02,99.98,-32767
2016-12-15T02:50:09.000Z,6.02,99.98,-32767
2016-12-16T02:10:08.000Z,6.02,99.98,29.52
2016-12-17T02:40:08.000Z,6.02,99.98,-32767
2016-12-18T02:05:08.000Z,6.02,99.98,-32767
2016-12-19T02:30:08.000Z,6.02,99.98,-32767
2016-12-20T03:00:08.000Z,6.02,99.98,-32767
2016-12-21T02:20:08.000Z,6.02,99.98,-32767
2016-12-22T02:55:08.000Z,6.02,99.98,-32767
2016-12-23T02:10:09.000Z,6.02,99.98,28.64
2016-12-24T02:45:08.000Z,6.02,99.98,-32767
