DATE,LAT,LON,CHLOR
2016-03-20T02:39:59.000Z,6.02,99.98,-32000.51286
2016-03-21T02:14:59.000Z,6.02,99.98,-32767
2016-03-21T02:14:59.000Z,6.02,99.98,-32014.92541
2016-03-22T02:59:59.000Z,6.02,99.98,-32767
2016-03-22T02:59:59.000Z,6.02,99.98,-32029.33796
2016-03-23T02:59:59.000Z,6.02,99.98,-32767
2016-03-23T02:59:59.000Z,6.02,99.98,-32043.75051
2016-03-24T02:45:00.000Z,6.02,99.98,-32767
2016-03-24T02:45:00.000Z,6.02,99.98,-32058.16306
2016-03-25T02:54:59.000Z,6.02,99.98,1.04
2016-03-25T02:54:59.000Z,6.02,99.98,-32072.57561
2016-03-26T02:34:59.000Z,6.02,99.98,-32767
2016-03-26T02:34:59.000Z,6.02,99.98,-32086.98817
2016-03-27T02:44:59.000Z,6.02,99.98,-32767
2016-03-27T02:44:59.000Z,6.02,99.98,-32101.40072
2016-03-28T02:19:59.000Z,6.02,99.98,-32767
2016-03-28T02:19:59.000Z,6.02,99.98,-32115.81327
2016-03-29T02:59:59.000Z,6.02,99.98,-32767
2016-03-29T02:59:59.000Z,6.02,99.98,-32130.22582
2016-03-30T02:59:59.000Z,6.02,99.98,-32767
2016-03-30T02:59:59.000Z,6.02,99.98,-32144.63837
2016-03-31T02:49:59.000Z,6.02,99.98,-32767
2016-03-31T02:49:59.000Z,6.02,99.98,-32159.05092
2016-04-01T02:59:59.000Z,6.02,99.98,-32767
2016-04-01T02:59:59.000Z,6.02,99.98,-32173.46347
2016-04-02T02:39:59.000Z,6.02,99.98,-32767
2016-04-02T02:39:59.000Z,6.02,99.98,-32187.87602
2016-04-03T02:50:00.000Z,6.02,99.98,-32767
2016-04-03T02:50:00.000Z,6.02,99.98,-32202.28857
2016-04-04T02:25:00.000Z,6.02,99.98,-32767
2016-04-04T02:25:00.000Z,6.02,99.98,-32216.70112
2016-04-05T02:40:00.000Z,6.02,99.98,0.7
2016-04-05T02:40:00.000Z,6.02,99.98,-32231.11367
2016-04-06T02:15:00.000Z,6.02,99.98,-32767
2016-04-06T02:15:00.000Z,6.02,99.98,-32245.52622
2016-04-07T02:59:59.000Z,6.02,99.98,-32767
2016-04-07T02:59:59.000Z,6.02,99.98,-32259.93877
2016-04-08T02:59:59.000Z,6.02,99.98,-32767
2016-04-08T02:59:59.000Z,6.02,99.98,-32274.35132
2016-04-09T02:45:00.000Z,6.02,99.98,-32767
2016-04-09T02:45:00.000Z,6.02,99.98,-32288.76388
2016-04-10T02:54:59.000Z,6.02,99.98,-32767
2016-04-10T02:54:59.000Z,6.02,99.98,-32303.17643
2016-04-11T02:34:59.000Z,6.02,99.98,-32767
2016-04-11T02:34:59.000Z,6.02,99.98,-32317.58898
2016-04-12T02:44:59.000Z,6.02,99.98,-32767
2016-04-12T02:44:59.000Z,6.02,99.98,-32332.00153
2016-04-13T02:19:59.000Z,6.02,99.98,-32767
2016-04-13T02:19:59.000Z,6.02,99.98,-32346.41408
2016-04-14T02:34:59.000Z,6.02,99.98,-32767
2016-04-14T02:34:59.000Z,6.02,99.98,-32360.82663
